"","...1","symbol","date","open","high","low","close","volume","adjusted","name","currency","exchange","industry","logo","weburl","environment_grade","environment_level","social_grade","social_level","governance_grade","governance_level","environment_score","social_score","governance_score","total_score","last_processing_date","total_grade","total_level","cik","baseline_price","after_shock","day","log_price","Industrials","Health Care","Information Technology","Utilities","Financials","Materials","Consumer Discretionary","Real Estate","Communication Services","Consumer Staples","Energy"
"1434",1518,"APA",2022-10-17,40.3600006103516,41.7799987792969,39.7400016784668,40.0999984741211,7270300,35.7193374633789,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,7,3.69137629626068,0,0,0,0,0,0,0,0,0,0,1
"1435",1519,"APA",2022-10-18,40.3499984741211,40.9500007629395,38.9700012207031,39.8199996948242,7240600,35.4699211120605,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,8,3.68436929097217,0,0,0,0,0,0,0,0,0,0,1
"1436",1520,"APA",2022-10-19,39.9500007629395,41.939998626709,39.8199996948242,41.9099998474121,7881900,37.3316078186035,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,9,3.73552445829613,0,0,0,0,0,0,0,0,0,0,1
"1437",1521,"APA",2022-10-20,42.2000007629395,43.1300010681152,41.2900009155273,41.5099983215332,7131500,37.1972007751465,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,10,3.72593432162971,0,0,0,0,0,0,0,0,0,0,1
"1438",1522,"APA",2022-10-21,41.9099998474121,43.2000007629395,41.5099983215332,43.189998626709,8542500,38.7026481628418,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,11,3.76560895517611,0,0,0,0,0,0,0,0,0,0,1
"1439",1523,"APA",2022-10-24,43.2999992370605,44.4199981689453,42.9599990844727,43.7599983215332,7901100,39.2134170532227,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,14,3.77872011975754,0,0,0,0,0,0,0,0,0,0,1
"1440",1524,"APA",2022-10-25,43.7799987792969,45.4000015258789,43.3699989318848,45.2000007629395,8117800,40.5038108825684,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,15,3.81109710371738,0,0,0,0,0,0,0,0,0,0,1
"1441",1525,"APA",2022-10-26,45.4300003051758,47.0900001525879,45.2400016784668,46.0800018310547,8074400,41.2923851013184,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,16,3.83037905612407,0,0,0,0,0,0,0,0,0,0,1
"1442",1526,"APA",2022-10-27,47.2599983215332,47.5,45.5800018310547,45.7299995422363,8040800,40.9787406921387,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,17,3.82275452765982,0,0,0,0,0,0,0,0,0,0,1
"1443",1527,"APA",2022-10-28,46.2999992370605,46.4500007629395,44.0400009155273,45.439998626709,7177100,40.718879699707,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,18,3.81639274419082,0,0,0,0,0,0,0,0,0,0,1
"1444",1528,"APA",2022-10-31,44.8499984741211,46.3300018310547,44.0999984741211,45.4599990844727,5944300,40.7367935180664,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,21,3.81683279828521,0,0,0,0,0,0,0,0,0,0,1
"1445",1529,"APA",2022-11-01,46.4300003051758,46.5699996948242,45.6599998474121,45.7900009155273,5803900,41.0325088500977,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,22,3.82406574666305,0,0,0,0,0,0,0,0,0,0,1
"1446",1530,"APA",2022-11-02,45.5099983215332,45.939998626709,44.0099983215332,44.2400016784668,7690800,39.6435585021973,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,23,3.78962939515411,0,0,0,0,0,0,0,0,0,0,1
"1447",1531,"APA",2022-11-03,43.1500015258789,47.8800010681152,43.0299987792969,47.2900009155273,9835000,42.3766670227051,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,24,3.85629887601563,0,0,0,0,0,0,0,0,0,0,1
"1448",1532,"APA",2022-11-04,48.8699989318848,50.2200012207031,47.6699981689453,48.9900016784668,8846700,43.9000358581543,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,25,3.8916162299119,0,0,0,0,0,0,0,0,0,0,1
"1449",1533,"APA",2022-11-07,49.1399993896484,50.5800018310547,49.0099983215332,49.5,6503200,44.3570442199707,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,28,3.90197266957464,0,0,0,0,0,0,0,0,0,0,1
"1450",1534,"APA",2022-11-08,49.1300010681152,49.6699981689453,47.939998626709,49.0400009155273,6744700,43.9448509216309,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,0,29,3.89263631029695,0,0,0,0,0,0,0,0,0,0,1
"1451",1535,"APA",2022-11-09,48.0200004577637,48.2400016784668,45.2599983215332,45.5499992370605,7833200,40.8174438476562,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,30,3.81881060695647,0,0,0,0,0,0,0,0,0,0,1
"1452",1536,"APA",2022-11-10,46.7099990844727,47.3800010681152,45.6300010681152,47,6225700,42.1167907714844,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,31,3.85014760171006,0,0,0,0,0,0,0,0,0,0,1
"1453",1537,"APA",2022-11-11,48.2999992370605,49.2999992370605,48.0999984741211,48.7599983215332,5962700,43.6939277648926,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,32,3.88691027019004,0,0,0,0,0,0,0,0,0,0,1
"1454",1538,"APA",2022-11-14,48.2099990844727,48.9500007629395,47.1800003051758,47.2099990844727,5478600,42.3049774169922,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,35,3.85460571516554,0,0,0,0,0,0,0,0,0,0,1
"1455",1539,"APA",2022-11-15,47.4500007629395,49.2200012207031,46.5299987792969,49.0400009155273,5814400,43.9448509216309,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,36,3.89263631029695,0,0,0,0,0,0,0,0,0,0,1
"1456",1540,"APA",2022-11-16,48.0800018310547,48.7099990844727,47.4000015258789,47.4300003051758,5831800,42.5021133422852,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,37,3.85925494632373,0,0,0,0,0,0,0,0,0,0,1
"1457",1541,"APA",2022-11-17,46.3499984741211,47.0200004577637,45.5400009155273,46.939998626709,5377900,42.0630264282227,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,38,3.84887016116657,0,0,0,0,0,0,0,0,0,0,1
"1458",1542,"APA",2022-11-18,45.4199981689453,46.5400009155273,44.3199996948242,46.3400001525879,6158800,41.5253715515137,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,39,3.83600552229702,0,0,0,0,0,0,0,0,0,0,1
"1459",1543,"APA",2022-11-21,45.25,45.5699996948242,43.0400009155273,45.2700004577637,7778300,40.5665397644043,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,42,3.81264457155972,0,0,0,0,0,0,0,0,0,0,1
"1460",1544,"APA",2022-11-22,46.1699981689453,47.9300003051758,45.7299995422363,47.7799987792969,5732300,42.8157577514648,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,43,3.86660711634925,0,0,0,0,0,0,0,0,0,0,1
"1461",1545,"APA",2022-11-23,46.7999992370605,47.7799987792969,46.3199996948242,46.7799987792969,5235200,41.9196510314941,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,44,3.84545573506148,0,0,0,0,0,0,0,0,0,0,1
"1462",1546,"APA",2022-11-25,47.2000007629395,47.2000007629395,46.0999984741211,46.4300003051758,2876300,41.6060180664062,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,46,3.83794580860465,0,0,0,0,0,0,0,0,0,0,1
"1463",1547,"APA",2022-11-28,44.8300018310547,45.4799995422363,43.75,44.9599990844727,7228500,40.288745880127,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,49,3.80577318522228,0,0,0,0,0,0,0,0,0,0,1
"1464",1548,"APA",2022-11-29,45.9000015258789,47.0400009155273,45.8300018310547,46.5900001525879,7090500,41.7493934631348,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,50,3.84138592910383,0,0,0,0,0,0,0,0,0,0,1
"1465",1549,"APA",2022-11-30,47.4700012207031,47.6500015258789,46,46.8499984741211,9011400,41.9823837280273,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,51,3.84695097611498,0,0,0,0,0,0,0,0,0,0,1
"1466",1550,"APA",2022-12-01,47.5,48.0800018310547,46.4799995422363,46.7200012207031,5264900,41.8658866882324,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,52,3.84417236464803,0,0,0,0,0,0,0,0,0,0,1
"1467",1551,"APA",2022-12-02,46.189998626709,47.3800010681152,46.189998626709,47.1100006103516,4617600,42.2153739929199,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,53,3.85248530566783,0,0,0,0,0,0,0,0,0,0,1
"1468",1552,"APA",2022-12-05,48.0699996948242,48.5499992370605,45.2299995422363,45.7099990844727,5896700,40.960823059082,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,56,3.82231707231462,0,0,0,0,0,0,0,0,0,0,1
"1469",1553,"APA",2022-12-06,45.060001373291,46.2000007629395,43.5800018310547,43.8699989318848,5685200,39.3119964599609,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,57,3.78123069083084,0,0,0,0,0,0,0,0,0,0,1
"1470",1554,"APA",2022-12-07,44.0999984741211,44.6599998474121,43.2000007629395,43.6599998474121,5982400,39.1238136291504,"APA Corp (US)","USD","NASDAQ NMS - GLOBAL MARKET","Energy","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png","https://apacorp.com/","A","High","BB","Medium","BB","Medium",510,316,325,1151,"16-04-2022","BBB","High",1841666,41.1699981689453,1,58,3.77643234762688,0,0,0,0,0,0,0,0,0,0,1
"1471",1597,"AAPL",2022-10-10,140.419998168945,141.889999389648,138.570007324219,140.419998168945,74899000,138.103958129883,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,0,4.94463791854926,0,0,1,0,0,0,0,0,0,0,0
"1472",1598,"AAPL",2022-10-11,139.899993896484,141.350006103516,138.220001220703,138.979995727539,77033700,136.687728881836,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,1,4.93433000714463,0,0,1,0,0,0,0,0,0,0,0
"1473",1599,"AAPL",2022-10-12,139.130004882812,140.360000610352,138.160003662109,138.339996337891,70433700,136.05827331543,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,2,4.92971439670064,0,0,1,0,0,0,0,0,0,0,0
"1474",1600,"AAPL",2022-10-13,134.990005493164,143.589996337891,134.369995117188,142.990005493164,113224000,140.631607055664,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,3,4.96277473616118,0,0,1,0,0,0,0,0,0,0,0
"1475",1601,"AAPL",2022-10-14,144.309997558594,144.520004272461,138.190002441406,138.380004882812,88598000,136.097640991211,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,4,4.9300035593562,0,0,1,0,0,0,0,0,0,0,0
"1476",1602,"AAPL",2022-10-17,141.070007324219,142.899993896484,140.270004272461,142.410003662109,85250900,140.061187744141,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,7,4.95871024694659,0,0,1,0,0,0,0,0,0,0,0
"1477",1603,"AAPL",2022-10-18,145.490005493164,146.699996948242,140.610000610352,143.75,99136600,141.379058837891,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,8,4.96807567967746,0,0,1,0,0,0,0,0,0,0,0
"1478",1604,"AAPL",2022-10-19,141.690002441406,144.949996948242,141.5,143.860000610352,61758300,141.487243652344,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,9,4.96884060868189,0,0,1,0,0,0,0,0,0,0,0
"1479",1605,"AAPL",2022-10-20,143.020004272461,145.889999389648,142.649993896484,143.389999389648,64522000,141.024978637695,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,10,4.96556818647036,0,0,1,0,0,0,0,0,0,0,0
"1480",1606,"AAPL",2022-10-21,142.869995117188,147.850006103516,142.649993896484,147.270004272461,86548600,144.840972900391,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,11,4.99226766574915,0,0,1,0,0,0,0,0,0,0,0
"1481",1607,"AAPL",2022-10-24,147.190002441406,150.229995727539,146,149.449996948242,75981900,146.985046386719,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,14,5.00696186831002,0,0,1,0,0,0,0,0,0,0,0
"1482",1608,"AAPL",2022-10-25,150.089996337891,152.490005493164,149.360000610352,152.339996337891,74732300,149.827362060547,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,15,5.02611484090559,0,0,1,0,0,0,0,0,0,0,0
"1483",1609,"AAPL",2022-10-26,150.960006713867,151.990005493164,148.039993286133,149.350006103516,88194300,146.886703491211,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,16,5.00629258552932,0,0,1,0,0,0,0,0,0,0,0
"1484",1610,"AAPL",2022-10-27,148.070007324219,149.050003051758,144.130004882812,144.800003051758,109180200,142.411758422852,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,17,4.97535350102729,0,0,1,0,0,0,0,0,0,0,0
"1485",1611,"AAPL",2022-10-28,148.199996948242,157.5,147.820007324219,155.740005493164,164762400,153.171310424805,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,18,5.04818798542022,0,0,1,0,0,0,0,0,0,0,0
"1486",1612,"AAPL",2022-10-31,153.160003662109,154.240005493164,151.919998168945,153.339996337891,97943200,150.810882568359,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,21,5.03265765424847,0,0,1,0,0,0,0,0,0,0,0
"1487",1613,"AAPL",2022-11-01,155.080001831055,155.449996948242,149.130004882812,150.649993896484,80379300,148.165237426758,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,22,5.01495922506177,0,0,1,0,0,0,0,0,0,0,0
"1488",1614,"AAPL",2022-11-02,148.949996948242,152.169998168945,145,145.029998779297,93604600,142.637924194336,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,23,4.97694060915526,0,0,1,0,0,0,0,0,0,0,0
"1489",1615,"AAPL",2022-11-03,142.059997558594,142.800003051758,138.75,138.880004882812,97918500,136.589385986328,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,24,4.93361028607054,0,0,1,0,0,0,0,0,0,0,0
"1490",1616,"AAPL",2022-11-04,142.089996337891,142.669998168945,134.380004882812,138.380004882812,140814800,136.323394775391,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,25,4.9300035593562,0,0,1,0,0,0,0,0,0,0,0
"1491",1617,"AAPL",2022-11-07,137.110000610352,139.149993896484,135.669998168945,138.919998168945,83374600,136.855346679688,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,28,4.93389821469523,0,0,1,0,0,0,0,0,0,0,0
"1492",1618,"AAPL",2022-11-08,140.410003662109,141.429992675781,137.490005493164,139.5,89908500,137.426742553711,"Apple Inc","USD","NASDAQ NMS - GLOBAL MARKET","Technology","https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png","https://www.apple.com/","BB","Medium","B","Medium","B","Medium",355,281,255,891,"16-04-2022","BB","Medium",320193,140.419998168945,0,29,4.93806460126142,0,0,1,0,0,0,0,0,0,0,0
